algorithm,n,kind,seconds_mean,memory_kb,arch,d1_miss_rate,lld_miss_rate,branch_miss_rate
bubble_sort,1000,random,0.038310,0.3,aarch64,0.1,0.1,14.7
merge_sort,1000,random,0.001614,9.1,aarch64,1.5,1.2,13.1
quick_sort,1000,random,0.001187,1.2,aarch64,1.8,1.4,13.1
bubble_sort,5000,random,1.092876,0.3,aarch64,0.4,0.0,14.3
merge_sort,5000,random,0.010347,40.6,aarch64,0.8,0.4,13.7
quick_sort,5000,random,0.007443,1.5,aarch64,0.6,0.4,13.2
bubble_sort,10000,random,4.533858,0.3,aarch64,1.6,0.0,14.6
merge_sort,10000,random,0.022373,79.7,aarch64,0.8,0.2,14.0
quick_sort,10000,random,0.015784,1.7,aarch64,0.5,0.2,13.5
bubble_sort,20000,random,19.048974,0.3,aarch64,2.0,0.0,14.1
merge_sort,20000,random,0.048734,157.9,aarch64,0.9,0.2,14.1
quick_sort,20000,random,0.033896,1.9,aarch64,0.5,0.2,13.2
bubble_sort,40000,random,81.818591,0.3,aarch64,2.1,0.0,14.2
merge_sort,40000,random,0.107035,314.2,aarch64,1.0,0.3,14.3
quick_sort,40000,random,0.077581,1.8,aarch64,0.6,0.1,13.0
bubble_sort,1000,sorted,0.000061,0.2,aarch64,0.4,0.3,0.9
merge_sort,1000,sorted,0.001458,9.1,aarch64,0.4,0.3,1.2
quick_sort,1000,sorted,0.001214,1.5,aarch64,0.1,0.1,0.4
bubble_sort,5000,sorted,0.000332,0.2,aarch64,0.1,0.0,0.1
merge_sort,5000,sorted,0.009387,40.6,aarch64,0.1,0.0,0.1
quick_sort,5000,sorted,0.007456,1.6,aarch64,0.3,0.0,0.0
bubble_sort,10000,sorted,0.000757,0.2,aarch64,1.5,0.0,0.0
merge_sort,10000,sorted,0.020530,79.7,aarch64,1.5,0.0,0.1
quick_sort,10000,sorted,0.016020,2.1,aarch64,1.3,0.0,0.0
bubble_sort,20000,sorted,0.001669,0.2,aarch64,2.5,0.0,0.0
merge_sort,20000,sorted,0.044688,157.9,aarch64,2.5,0.0,0.0
quick_sort,20000,sorted,0.034795,1.8,aarch64,1.7,0.0,0.0
bubble_sort,40000,sorted,0.003358,0.2,aarch64,2.9,0.0,0.0
merge_sort,40000,sorted,0.099699,314.2,aarch64,2.9,0.0,0.0
quick_sort,40000,sorted,0.076152,2.3,aarch64,1.8,0.0,0.0
bubble_sort,1000,reverse,0.049011,0.3,aarch64,0.1,0.1,0.4
merge_sort,1000,reverse,0.001471,9.1,aarch64,0.4,0.3,1.1
quick_sort,1000,reverse,0.001184,1.5,aarch64,0.2,0.1,0.4
bubble_sort,5000,reverse,1.453488,0.3,aarch64,0.2,0.0,0.0
merge_sort,5000,reverse,0.009470,40.6,aarch64,0.1,0.0,0.1
quick_sort,5000,reverse,0.007897,1.4,aarch64,0.4,0.0,0.0
bubble_sort,10000,reverse,6.267313,0.3,aarch64,1.3,0.0,0.0
merge_sort,10000,reverse,0.020826,79.7,aarch64,1.4,0.0,0.1
quick_sort,10000,reverse,0.016037,1.9,aarch64,1.8,0.0,0.0
bubble_sort,20000,reverse,27.267888,0.3,aarch64,1.7,0.0,0.0
merge_sort,20000,reverse,0.055385,157.8,aarch64,2.5,0.0,0.0
quick_sort,20000,reverse,0.037380,1.8,aarch64,2.4,0.0,0.0
bubble_sort,40000,reverse,113.536151,0.3,aarch64,1.8,0.0,0.0
merge_sort,40000,reverse,0.104197,314.1,aarch64,2.9,0.0,0.0
quick_sort,40000,reverse,0.082078,2.3,aarch64,2.6,0.0,0.0
bubble_sort,1000,mostly_sorted,0.000161,0.2,aarch64,0.4,0.3,0.9
merge_sort,1000,mostly_sorted,0.001462,9.1,aarch64,0.4,0.3,1.2
quick_sort,1000,mostly_sorted,0.001169,1.3,aarch64,0.1,0.1,0.4
bubble_sort,5000,mostly_sorted,0.000976,0.2,aarch64,0.1,0.0,0.1
merge_sort,5000,mostly_sorted,0.009405,40.5,aarch64,0.1,0.0,0.1
quick_sort,5000,mostly_sorted,0.007366,1.4,aarch64,0.2,0.0,0.0
bubble_sort,10000,mostly_sorted,0.002323,0.2,aarch64,1.5,0.0,0.0
merge_sort,10000,mostly_sorted,0.020917,79.6,aarch64,1.5,0.0,0.1
quick_sort,10000,mostly_sorted,0.016592,1.7,aarch64,1.3,0.0,0.0
bubble_sort,20000,mostly_sorted,0.006481,0.2,aarch64,2.5,0.0,0.0
merge_sort,20000,mostly_sorted,0.046541,157.8,aarch64,2.5,0.0,0.0
quick_sort,20000,mostly_sorted,0.036007,2.0,aarch64,1.7,0.0,0.0
bubble_sort,40000,mostly_sorted,0.013686,0.2,aarch64,2.9,0.0,0.0
merge_sort,40000,mostly_sorted,0.102732,314.1,aarch64,2.9,0.0,0.0
quick_sort,40000,mostly_sorted,0.082612,1.9,aarch64,1.8,0.0,0.0
