algorithm,n,kind,seconds_mean,memory_kb,arch
bubble_sort,1000,random,0.042020,0.3,x86_64
merge_sort,1000,random,0.001881,9.1,x86_64
quick_sort,1000,random,0.001397,1.3,x86_64
bubble_sort,5000,random,1.189789,0.3,x86_64
merge_sort,5000,random,0.011662,40.5,x86_64
quick_sort,5000,random,0.008616,1.6,x86_64
bubble_sort,10000,random,5.115157,0.3,x86_64
merge_sort,10000,random,0.025709,79.6,x86_64
quick_sort,10000,random,0.018069,1.7,x86_64
bubble_sort,20000,random,19.927513,0.3,x86_64
merge_sort,20000,random,0.055033,157.9,x86_64
quick_sort,20000,random,0.039505,1.9,x86_64
bubble_sort,40000,random,80.366223,0.3,x86_64
merge_sort,40000,random,0.114182,314.2,x86_64
quick_sort,40000,random,0.079915,2.2,x86_64
bubble_sort,1000,sorted,0.000070,0.2,x86_64
merge_sort,1000,sorted,0.001586,9.1,x86_64
quick_sort,1000,sorted,0.001341,1.3,x86_64
bubble_sort,5000,sorted,0.000308,0.2,x86_64
merge_sort,5000,sorted,0.010113,40.5,x86_64
quick_sort,5000,sorted,0.008016,1.5,x86_64
bubble_sort,10000,sorted,0.000716,0.2,x86_64
merge_sort,10000,sorted,0.021820,79.6,x86_64
quick_sort,10000,sorted,0.017933,1.9,x86_64
bubble_sort,20000,sorted,0.001342,0.2,x86_64
merge_sort,20000,sorted,0.046649,157.9,x86_64
quick_sort,20000,sorted,0.036865,2.3,x86_64
bubble_sort,40000,sorted,0.002699,0.2,x86_64
merge_sort,40000,sorted,0.099150,314.2,x86_64
quick_sort,40000,sorted,0.085575,1.9,x86_64
bubble_sort,1000,reverse,0.054800,0.3,x86_64
merge_sort,1000,reverse,0.001579,9.1,x86_64
quick_sort,1000,reverse,0.001436,1.2,x86_64
bubble_sort,5000,reverse,1.577617,0.3,x86_64
merge_sort,5000,reverse,0.010261,40.5,x86_64
quick_sort,5000,reverse,0.008288,1.5,x86_64
bubble_sort,10000,reverse,6.870549,0.3,x86_64
merge_sort,10000,reverse,0.021896,79.6,x86_64
quick_sort,10000,reverse,0.017756,1.6,x86_64
bubble_sort,20000,reverse,26.515029,0.3,x86_64
merge_sort,20000,reverse,0.047444,157.8,x86_64
quick_sort,20000,reverse,0.038030,1.7,x86_64
bubble_sort,40000,reverse,111.912405,0.3,x86_64
merge_sort,40000,reverse,0.101841,314.1,x86_64
quick_sort,40000,reverse,0.078089,1.9,x86_64
bubble_sort,1000,mostly_sorted,0.000168,0.2,x86_64
merge_sort,1000,mostly_sorted,0.001584,9.1,x86_64
quick_sort,1000,mostly_sorted,0.001355,1.3,x86_64
bubble_sort,5000,mostly_sorted,0.001424,0.2,x86_64
merge_sort,5000,mostly_sorted,0.010117,40.5,x86_64
quick_sort,5000,mostly_sorted,0.008659,1.5,x86_64
bubble_sort,10000,mostly_sorted,0.003139,0.2,x86_64
merge_sort,10000,mostly_sorted,0.022008,79.6,x86_64
quick_sort,10000,mostly_sorted,0.018070,1.8,x86_64
bubble_sort,20000,mostly_sorted,0.006377,0.2,x86_64
merge_sort,20000,mostly_sorted,0.046754,157.8,x86_64
quick_sort,20000,mostly_sorted,0.037351,1.9,x86_64
bubble_sort,40000,mostly_sorted,0.010574,0.2,x86_64
merge_sort,40000,mostly_sorted,0.099729,314.1,x86_64
quick_sort,40000,mostly_sorted,0.078584,1.8,x86_64
